 order,id,date,time,title,url,visitCount,typedCount,transition
1034,72803,11/25/2020,22:33:09,Start-Up (2020) - MyDramaList,https://mydramalist.com/51909-sandbox,1,0,link
383,167,11/28/2020,13:52:14,YouTube,https://www.youtube.com/,631,165,link
1101,72754,11/25/2020,18:51:32,-m flag for python - Google Search,https://www.google.com/search?q=-m+flag+for+python&oq=-m+flag+for+python&aqs=chrome..69i57.5511j0j7&sourceid=chrome&ie=UTF-8,3,0,generated
1394,72660,11/23/2020,23:54:54,gfriend fingertip live - YouTube,https://www.youtube.com/results?search_query=gfriend+fingertip+live,2,0,link
299,70996,11/28/2020,21:39:36,Pull requests · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pulls,33,0,link
296,70996,11/28/2020,21:40:23,Pull requests · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pulls,33,0,link
1079,66354,11/25/2020,21:58:03,Search Results - MyDramaList,https://mydramalist.com/search?q=flower+of+evil,7,1,typed
361,73014,11/28/2020,16:29:29,Rie McClenny - YouTube,https://www.youtube.com/channel/UCjx1Y3YRVDTv1Q3-KsztDSA,1,0,link
101,73125,11/29/2020,22:46:18,Profile / Twitter,https://twitter.com/steph0sims?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1,0,link
974,72827,11/26/2020,12:37:19,Watch It's Alive with Brad | Brad and Priya Make Yogurt | Bon Appétit Video | CNE | Bonappetit.com | Bon Appétit,https://www.bonappetit.com/video/watch/it-s-alive-with-brad-brad-and-priya-make-yogurt,2,0,link
951,72845,11/26/2020,13:10:13,puff pastry dough vegan - Google Search,https://www.google.com/search?sxsrf=ALeKk00mQDd9I4WA9pL1MEf5qvumO1Fqtw%3A1606424938300&ei=ahnAX97jEZbv-gSctrOQCg&q=puff+pastry+dough+vegan&oq=puff+pastry+dough+vegan&gs_lcp=CgZwc3ktYWIQAzICCAAyBggAEAcQHjIECAAQHjIGCAAQCBAeOgQIABBHUK1ZWK1ZYPtbaABwA3gAgAFSiAFSkgEBMZgBAKABAaoBB2d3cy13aXrIAQjAAQE&sclient=psy-ab&ved=0ahUKEwjewLiej6HtAhWWt54KHRzbDKIQ4dUDCA0&uact=5,2,0,link
991,72819,11/26/2020,12:07:01,How to add a file to the last commit in git? - Stack Overflow,https://stackoverflow.com/questions/40503417/how-to-add-a-file-to-the-last-commit-in-git,1,0,link
1080,72770,11/25/2020,21:57:23,13 Actors And Actresses Who Always Pick Good Roles | Soompi,https://www.soompi.com/article/1346713wpp/13-actors-and-actresses-who-always-pick-good-roles,1,0,link
666,72886,11/26/2020,19:43:03,homework 10 - Google Docs,https://docs.google.com/document/d/10P1YtJQm4XZpzs_TBEc70HopHZJV_MnFqV0i8auln2g/edit,110,0,link
1407,167,11/23/2020,23:33:50,YouTube,https://www.youtube.com/,631,165,link
591,72891,11/26/2020,21:28:22,"85°C Bakery Cafe - Updated COVID-19 Hours & Services - 4508 Photos & 5708 Reviews - Coffee & Tea - 2700 Alton Pkwy, Irvine, CA - Phone Number - Yelp",https://www.yelp.com/biz/85-c-bakery-cafe-irvine?start=140,1,0,link
534,72886,11/27/2020,12:47:47,homework 10 - Google Docs,https://docs.google.com/document/d/10P1YtJQm4XZpzs_TBEc70HopHZJV_MnFqV0i8auln2g/edit,110,0,link
1071,72776,11/25/2020,22:01:27,Park Min Young (박민영) - MyDramaList,https://mydramalist.com/people/430-park-min-young,1,0,link
998,72817,11/26/2020,12:00:56,https://learn.cybersecurity.berkeley.edu/ap/#/courses/430/sections/1637/grades/285512/students/3975/files/1234914/homework-annotate?gradeItemName=Final Project Initial Presentation and Outline,https://learn.cybersecurity.berkeley.edu/ap/#/courses/430/sections/1637/grades/285512/students/3975/files/1234914/homework-annotate?gradeItemName=Final%20Project%20Initial%20Presentation%20and%20Outline,4,0,link
522,72886,11/27/2020,14:01:10,homework 10 - Google Docs,https://docs.google.com/document/d/10P1YtJQm4XZpzs_TBEc70HopHZJV_MnFqV0i8auln2g/edit,110,0,link
